recorded_at,market_time,london_date,equity_gbp,benchmark_gbp,pnl_gbp,return_pct,benchmark_return_pct,excess_percentage_points,cash_gbp,costs_gbp,holdings,day_pnl_gbp,day_return_pct,benchmark_day_return_pct
2026-09-09 16:57:19.179505+00:00,2026-09-09 15:00:00+00:00,2026-09-09,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,{},0.0,0.0,0.0
2026-09-10 16:30:36.079479+00:00,2026-09-10 15:00:00+00:00,2026-09-10,989.3970728264288,992.3520425733632,-10.602927173571288,-1.0602927173571253,-0.764795742663682,-0.2954969746934466,989.3970728264288,1.1913596545603533,{},-10.602927173571175,-1.0602927173571142,-0.764795742663682
2026-09-11 16:31:25.885495+00:00,2026-09-11 15:00:00+00:00,2026-09-11,989.3970728264288,1000.7380948456866,-10.602927173571288,-1.0602927173571253,0.0738094845686543,-1.1341022019257934,989.3970728264288,1.1913596545603533,{},0.0,0.0,0.8450682734099768
2026-09-15 16:31:26.139144+00:00,2026-09-15 15:00:00+00:00,2026-09-15,989.3970728264288,989.2771318588084,-10.602927173571288,-1.0602927173571253,-1.07228681411915,0.0119940967620209,989.3970728264288,1.1913596545603533,{},0.0,0.0,-1.145250994831526
2026-09-16 16:30:42.930102+00:00,2026-09-16 15:00:00+00:00,2026-09-16,989.3970728264288,997.1040997617184,-10.602927173571288,-1.0602927173571253,-0.2895900238281568,-0.7707026935289718,989.3970728264288,1.1913596545603533,{},0.0,0.0,0.7911805146252116
2026-09-17 16:31:16.206047+00:00,2026-09-17 15:00:00+00:00,2026-09-17,1000.114921650001,1006.7481185238324,0.1149216500009515,0.0114921650000932,0.6748118523832503,-0.6633196873831594,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",10.717848823572126,1.0832707229418315,0.9672027990275778
2026-09-18 16:29:34.112563+00:00,2026-09-18 15:00:00+00:00,2026-09-18,999.9309219274164,1001.5767747170272,-0.0690780725835793,-0.0069078072583605,0.1576774717026996,-0.1645852789610671,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",-0.1839997225845309,-0.01839785794626181,-0.5136680875438615
2026-09-21 16:30:57.644546+00:00,2026-09-21 15:00:00+00:00,2026-09-21,1016.8588964052047,1015.643883419806,16.858896405204746,1.685889640520477,1.5643883419806048,0.1215012985398743,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",16.927974477788325,1.692914391042022,1.404496296028146
2026-09-22 16:31:51.084487+00:00,2026-09-22 15:00:00+00:00,2026-09-22,1026.6108817021914,1021.9828743456424,26.610881702191364,2.661088170219128,2.198287434564228,0.4628007356549005,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",9.751985296986618,0.9590303366044051,0.6241351943647944
2026-09-23 16:32:33.054197+00:00,2026-09-23 15:00:00+00:00,2026-09-23,1028.6348786506228,1020.5851101048884,28.634878650622795,2.8634878650622757,2.0585110104888398,0.8049768545734424,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",2.0239969484314315,0.1971532724332148,-0.13676983008633625
2026-09-24 16:32:25.240750+00:00,2026-09-24 15:00:00+00:00,2026-09-24,1022.7468875279136,1015.2739685471196,22.746887527913717,2.274688752791376,1.5273968547119487,0.7472918980794248,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",-5.887991122709195,-0.5724082708952194,-0.5204016309059201
2026-09-25 16:32:58.639563+00:00,2026-09-25 15:00:00+00:00,2026-09-25,1033.6028711604083,1021.0045033577786,33.60287116040831,3.3602871160408387,2.1004503357778592,1.2598367802629695,286.9319969118751,1.75288249701803,"{""IITU.L"": 18.39997225846558}",10.855983632494713,1.061453597647688,0.5644323589680589
