book,market_time,recorded_at,ticker,quantity,reference_price_gbp,notional_gbp,cost_gbp,fx_cost_gbp,status
strategy,2026-09-10 07:00:00+00:00,2026-09-10 08:33:35.270564+00:00,EMIM.L,18.09916830579049,41.4,749.3055678597262,0.599444454287781,0.0,SIMULATED_FILL
benchmark,2026-09-10 07:00:00+00:00,2026-09-10 08:33:35.270564+00:00,VWRP.L,6.9883946660096,142.97999572753906,999.2006394884094,0.7993605115907275,0.0,SIMULATED_FILL
